Id,Subscripcion Deposito
0,0.05532418872260669
1,0.05103001061528977
2,0.042045929023140506
3,0.042740542033765545
4,0.023554613253236278
5,0.21975735875732683
6,0.2123656490288691
7,0.1204900105293847
8,0.01541509076997735
9,0.01962204671241072
10,0.06676741401526046
11,0.018208603030340807
12,0.019411206671263358
13,0.0731555127983503
14,0.1009697267736242
15,0.06250035030454747
16,0.08188941519223991
17,0.042449148698149045
18,0.04801948098791541
19,0.16226141151797896
20,0.04299498359980781
21,0.8078763736263735
22,0.1341474664487026
23,0.13229993223045172
24,0.04564302671393557
25,0.12026996270929628
26,0.011336396197294244
27,0.05646665304065856
28,0.028299872000401065
29,0.01926707435708215
30,0.2721846774488896
31,0.07648182606881196
32,0.45476288253021946
33,0.08477966428347562
34,0.03709674878439464
35,0.04674619816097387
36,0.10782734137415431
37,0.08057238133539239
38,0.09173914906214009
39,0.18218925203336975
40,0.02422631329848068
41,0.01879572570135849
42,0.27249673247037803
43,0.03456699809437658
44,0.055217970126413246
45,0.028555923702527054
46,0.17434226363214786
47,0.10374740177960812
48,0.014745615152570446
49,0.10516722601813272
50,0.21214886302100483
51,0.06650884728430202
52,0.06102854774377108
53,0.7200163336663337
54,0.06029999543964364
55,0.02953837195088039
56,0.03995037667674445
57,0.028616271127710733
58,0.04672371901189206
59,0.6089576118102084
60,0.16351234132120077
61,0.03316174009472364
62,0.9072127837710217
63,0.04765843239147171
64,0.09710497486727075
65,0.04390331548006507
66,0.13069490001974615
67,0.03712151875813166
68,0.10272765069418634
69,0.022518012858152893
70,0.025880802644664958
71,0.19137476046619684
72,0.05699964236626675
73,0.028613504994142214
74,0.2536262253378565
75,0.018004798786150085
76,0.0473908179865772
77,0.05070541177446386
78,0.03533298021769677
79,0.17056113124763572
80,0.048320808281273754
81,0.05905092779557514
82,0.06615563233307747
83,0.26160820667011736
84,0.06118752978644724
85,0.01650143710257517
86,0.034946456473501114
87,0.29774421935480655
88,0.11289377134066883
89,0.020617007737095232
90,0.04887072026094176
91,0.04159080582216539
92,0.054361956047335916
93,0.014634287733325245
94,0.03505360352618457
95,0.04141866520228782
96,0.01572738145732316
97,0.01629885572738365
98,0.026035247316070226
99,0.12156391340188914
100,0.023400396960464764
101,0.049377672716283974
102,0.06391866509990382
103,0.08193309185153366
104,0.07692527818763226
105,0.10328197197104112
106,0.02734004739767769
107,0.02041401011057603
108,0.06459948947792214
109,0.2299577448992656
110,0.26844620845320705
111,0.020796995712087433
112,0.09033665312717941
113,0.22785633541010394
114,0.023097157013754997
115,0.21484960996799793
116,0.034376507981924265
117,0.030746907977337312
118,0.054970941308021035
119,0.1267804917637725
120,0.08770945261638952
121,0.015411318621448426
122,0.05936181851999854
123,0.05483454759303096
124,0.03807680756254242
125,0.0441160419921746
126,0.04473342224501809
127,0.05164721503636983
128,0.34087610529766965
129,0.02243118615005173
130,0.09818512314349269
131,0.02870293130357691
132,0.2934805695528952
133,0.06242811048545002
134,0.030494675414276903
135,0.350014591467298
136,0.04329504099142388
137,0.31890591319903044
138,0.013394729530627578
139,0.1878717570954979
140,0.013270726092915117
141,0.031395858380076976
142,0.04851633604530672
143,0.7498960598951265
144,0.046832895523256514
145,0.03642098842467008
146,0.03283226936460005
147,0.05082656357994666
148,0.22180788100788118
149,0.04262493313173712
150,0.8662567155067158
151,0.017315782279058705
152,0.025033417247475792
153,0.8045948619274614
154,0.07231749224698188
155,0.015912359506685937
156,0.13012487480233892
157,0.05512661861290056
158,0.028395734936559443
159,0.17411975281808642
160,0.23259549722325293
161,0.06807885040995197
162,0.1060950181323701
163,0.04522209687427739
164,0.023850800153761082
165,0.8576682991887339
166,0.0739149137335456
167,0.3088793206793208
168,0.042815432499042315
169,0.06454855407454993
170,0.6170081954042366
171,0.03306216753750204
172,0.02999805046132352
173,0.04234333709421068
174,0.05989719520374565
175,0.11212896139504412
176,0.030462568484759422
177,0.02771390767448664
178,0.8944290299290303
179,0.2282740933546894
180,0.141415667620166
181,0.053541445936584324
182,0.013696385469567529
183,0.014505952922582702
184,0.06323173553529556
185,0.029817490242997867
186,0.020927031465973953
187,0.48139008545748496
188,0.032440010142612156
189,0.04506265821577321
190,0.03898926457389286
191,0.0287166745398136
192,0.035964211477844094
193,0.010387640038082992
194,0.027460348562943014
195,0.0710358962403676
196,0.2390815775483422
197,0.022336101041889864
198,0.06773111121184577
199,0.11477119502621158
200,0.29157551463588666
201,0.005566647061402689
202,0.0637379997685079
203,0.0383344747357518
204,0.4027469866734571
205,0.0562862187131297
206,0.020620096463848058
207,0.08575469181119287
208,0.025659103711040594
209,0.00901582201750935
210,0.11305700596929112
211,0.034288153914675164
212,0.05559887873974703
213,0.013985944880075379
214,0.029437793286921254
215,0.09233377377347199
216,0.06354577874796537
217,0.024837412937367905
218,0.045993013029802965
